supertype,supertype_id,archetype,archetype_id,deck_id,player,event,event_id,rank,date_num,date
Aggro,1,4/5_C_Good_Stuff,1,252284,Jonah_Fraser,Grand_Prix_Vancouver_2015_-_Trial_Winners,9149,1,42055,2/20/2015
Aggro,1,4/5_C_Good_Stuff,1,246423,Lin_Le,GP_Kobe_2014_-_Trial_Winners,8054,1,41873,8/22/2014
Aggro,1,4/5_C_Good_Stuff,1,245978,katoriarch123,MTGO_Modern_Daily_(#7356154),7990,1,41862,8/11/2014
Aggro,1,4/5_C_Good_Stuff,1,243842,Eldon_Chou,SCG_Invitational_Qualifier_(Northglenn),7635,1,41770,5/11/2014
Aggro,1,4/5_C_Good_Stuff,1,238306,zeuth,MTGO_Modern_Daily_(#6737495),6663,1,41687,2/17/2014
Aggro,1,4/5_C_Good_Stuff,1,236254,Patrick_Decker,SKL_Kantine_@_Magdeburg,6302,1,41622,12/14/2013
Aggro,1,4/5_C_Good_Stuff,1,235046,kwallaild,MTGO_Modern_Event_(#6333959),6055,1,41596,11/18/2013
Aggro,1,4/5_C_Good_Stuff,1,229583,Charles_Cardenas,Modern_Masters_-III-,5131,1,41427,6/2/2013
Aggro,1,4/5_C_Good_Stuff,1,228915,Boin,MTGO_Modern_Daily_(#5457695),5011,1,41418,5/24/2013
Aggro,1,4/5_C_Good_Stuff,1,226858,echecetmat35,MTGO_Modern_Daily_(#5196391),4644,1,41357,3/24/2013
Aggro,1,4/5_C_Good_Stuff,1,226048,Jonathan_D._Metzger,"PTQ_San_Diego'13_(Seattle,_Washington)",4489,1,41329,2/24/2013
Aggro,1,4/5_C_Good_Stuff,1,225500,optimus,MTGO_Modern_Daily_(#5019820),4374,1,41321,2/16/2013
Aggro,1,4/5_C_Good_Stuff,1,224483,Christian_Böhnke,"PTQ_San_Diego'13_(Atlantis,_Hamburg)",4190,1,41286,1/12/2013
Aggro,1,4/5_C_Good_Stuff,1,223584,chihoi,MTGO_Modern_Daily_(#4775916),3995,1,41264,12/21/2012
Aggro,1,4/5_C_Good_Stuff,1,220134,MagicMike85,MTGO_Modern_Daily_(#4310712),3229,1,41162,9/10/2012
Aggro,1,4/5_C_Good_Stuff,1,219119,inosta,MTGO_Modern_Daily_(#4245580),3026,1,41144,8/23/2012
Aggro,1,Affinity,2,253802,Watermelonite,MTGO_Modern_Daily_(#8068465),9381,1,42078,3/15/2015
Aggro,1,Affinity,2,253318,austindz2,MTGO_Modern_Daily_(#8046300),9282,1,42068,3/5/2015
Aggro,1,Affinity,2,253384,austindz2,MTGO_Modern_Daily_(#8046300),9304,1,42068,3/5/2015
