supertype,archetype,archetype_id,arch_count,event_id,deck_rank,mean_rank,top_two,date_num,date
Aggro,4/5_C_Good_Stuff,1,59,9149,1,3.237288,1,42055,2/20/2015
Aggro,4/5_C_Good_Stuff,1,59,8054,1,3.237288,1,41873,8/22/2014
Aggro,4/5_C_Good_Stuff,1,59,7990,1,3.237288,1,41862,8/11/2014
Aggro,4/5_C_Good_Stuff,1,59,7635,1,3.237288,1,41770,5/11/2014
Aggro,4/5_C_Good_Stuff,1,59,6663,1,3.237288,1,41687,2/17/2014
Aggro,4/5_C_Good_Stuff,1,59,6302,1,3.237288,1,41622,12/14/2013
Aggro,4/5_C_Good_Stuff,1,59,6055,1,3.237288,1,41596,11/18/2013
Aggro,4/5_C_Good_Stuff,1,59,5131,1,3.237288,1,41427,6/2/2013
Aggro,4/5_C_Good_Stuff,1,59,5011,1,3.237288,1,41418,5/24/2013
Aggro,4/5_C_Good_Stuff,1,59,4644,1,3.237288,1,41357,3/24/2013
Aggro,4/5_C_Good_Stuff,1,59,4489,1,3.237288,1,41329,2/24/2013
Aggro,4/5_C_Good_Stuff,1,59,4374,1,3.237288,1,41321,2/16/2013
Aggro,4/5_C_Good_Stuff,1,59,4190,1,3.237288,1,41286,1/12/2013
Aggro,4/5_C_Good_Stuff,1,59,3995,1,3.237288,1,41264,12/21/2012
Aggro,4/5_C_Good_Stuff,1,59,3229,1,3.237288,1,41162,9/10/2012
Aggro,4/5_C_Good_Stuff,1,59,3026,1,3.237288,1,41144,8/23/2012
Aggro,4/5_C_Good_Stuff,1,59,9071,2,3.237288,1,42044,2/9/2015
Aggro,4/5_C_Good_Stuff,1,59,9063,2,3.237288,1,42040,2/5/2015
Aggro,4/5_C_Good_Stuff,1,59,9006,2,3.237288,1,42034,1/30/2015
Aggro,4/5_C_Good_Stuff,1,59,8697,2,3.237288,1,41981,12/8/2014
Aggro,4/5_C_Good_Stuff,1,59,7737,2,3.237288,1,41823,7/3/2014
Aggro,4/5_C_Good_Stuff,1,59,6861,2,3.237288,1,41712,3/14/2014
Aggro,4/5_C_Good_Stuff,1,59,6372,2,3.237288,1,41640,1/1/2014
Aggro,4/5_C_Good_Stuff,1,59,6348,2,3.237288,1,41614,12/6/2013
Aggro,4/5_C_Good_Stuff,1,59,6097,2,3.237288,1,41600,11/22/2013
Aggro,4/5_C_Good_Stuff,1,59,6090,2,3.237288,1,41599,11/21/2013
Aggro,4/5_C_Good_Stuff,1,59,5052,2,3.237288,1,41424,5/30/2013
Aggro,4/5_C_Good_Stuff,1,59,4867,2,3.237288,1,41393,4/29/2013
Aggro,4/5_C_Good_Stuff,1,59,9336,3,3.237288,0,42070,3/7/2015
Aggro,4/5_C_Good_Stuff,1,59,8018,3,3.237288,0,41854,8/3/2014
Aggro,4/5_C_Good_Stuff,1,59,7799,3,3.237288,0,41833,7/13/2014
Aggro,4/5_C_Good_Stuff,1,59,7724,3,3.237288,0,41818,6/28/2014
Aggro,4/5_C_Good_Stuff,1,59,6857,3,3.237288,0,41692,2/22/2014
Aggro,4/5_C_Good_Stuff,1,59,5801,3,3.237288,0,41558,10/11/2013
Aggro,4/5_C_Good_Stuff,1,59,4611,3,3.237288,0,41355,3/22/2013
Aggro,4/5_C_Good_Stuff,1,59,4585,3,3.237288,0,41349,3/16/2013
Aggro,4/5_C_Good_Stuff,1,59,4368,3,3.237288,0,41319,2/14/2013
Aggro,4/5_C_Good_Stuff,1,59,4174,3,3.237288,0,41280,1/6/2013
Aggro,4/5_C_Good_Stuff,1,59,2999,3,3.237288,0,41142,8/21/2012
Aggro,4/5_C_Good_Stuff,1,59,7709,4,3.237288,0,41818,6/28/2014
Aggro,4/5_C_Good_Stuff,1,59,6142,4,3.237288,0,41604,11/26/2013
Aggro,4/5_C_Good_Stuff,1,59,6089,4,3.237288,0,41599,11/21/2013
Aggro,4/5_C_Good_Stuff,1,59,4592,4,3.237288,0,41351,3/18/2013
Aggro,4/5_C_Good_Stuff,1,59,4308,4,3.237288,0,41309,2/4/2013
Aggro,4/5_C_Good_Stuff,1,59,4514,5,3.237288,0,41337,3/4/2013
Aggro,4/5_C_Good_Stuff,1,59,4535,5,3.237288,0,41335,3/2/2013
Aggro,4/5_C_Good_Stuff,1,59,4088,5,3.237288,0,41275,1/1/2013
Aggro,4/5_C_Good_Stuff,1,59,4173,5,3.237288,0,41272,12/29/2012
Aggro,4/5_C_Good_Stuff,1,59,7590,6,3.237288,0,41805,6/15/2014
Aggro,4/5_C_Good_Stuff,1,59,6803,6,3.237288,0,41702,3/4/2014
Aggro,4/5_C_Good_Stuff,1,59,4485,6,3.237288,0,41329,2/24/2013
Aggro,4/5_C_Good_Stuff,1,59,4120,6,3.237288,0,41279,1/5/2013
Aggro,4/5_C_Good_Stuff,1,59,6861,7,3.237288,0,41712,3/14/2014
Aggro,4/5_C_Good_Stuff,1,59,4573,7,3.237288,0,41350,3/17/2013
Aggro,4/5_C_Good_Stuff,1,59,4088,7,3.237288,0,41275,1/1/2013
Aggro,4/5_C_Good_Stuff,1,59,6835,8,3.237288,0,41707,3/9/2014
Aggro,4/5_C_Good_Stuff,1,59,4838,8,3.237288,0,41371,4/7/2013
Aggro,4/5_C_Good_Stuff,1,59,4173,8,3.237288,0,41272,12/29/2012
Aggro,4/5_C_Good_Stuff,1,59,8894,9,3.237288,0,42015,1/11/2015
Combo,Ad_Nauseam,37,71,8900,1,3.84507,1,42013,1/9/2015
Combo,Ad_Nauseam,37,71,8351,1,3.84507,1,41932,10/20/2014
Combo,Ad_Nauseam,37,71,7906,1,3.84507,1,41845,7/25/2014
Combo,Ad_Nauseam,37,71,6593,1,3.84507,1,41658,1/19/2014
Combo,Ad_Nauseam,37,71,6462,1,3.84507,1,41653,1/14/2014
Combo,Ad_Nauseam,37,71,5589,1,3.84507,1,41525,9/8/2013
Combo,Ad_Nauseam,37,71,2389,1,3.84507,1,40902,12/25/2011
Combo,Ad_Nauseam,37,71,2399,1,3.84507,1,40899,12/22/2011
Combo,Ad_Nauseam,37,71,8699,2,3.84507,1,41978,12/5/2014
Combo,Ad_Nauseam,37,71,7806,2,3.84507,1,41834,7/14/2014
Combo,Ad_Nauseam,37,71,7775,2,3.84507,1,41829,7/9/2014
Combo,Ad_Nauseam,37,71,7396,2,3.84507,1,41777,5/18/2014
Combo,Ad_Nauseam,37,71,5801,2,3.84507,1,41558,10/11/2013
Combo,Ad_Nauseam,37,71,5194,2,3.84507,1,41450,6/25/2013
Combo,Ad_Nauseam,37,71,2393,2,3.84507,1,40901,12/24/2011
Combo,Ad_Nauseam,37,71,1919,2,3.84507,1,40775,8/20/2011
Combo,Ad_Nauseam,37,71,1949,2,3.84507,1,40767,8/12/2011
Combo,Ad_Nauseam,37,71,9082,3,3.84507,0,42048,2/13/2015
Combo,Ad_Nauseam,37,71,9063,3,3.84507,0,42040,2/5/2015
Combo,Ad_Nauseam,37,71,9077,3,3.84507,0,42036,2/1/2015
Combo,Ad_Nauseam,37,71,8566,3,3.84507,0,41964,11/21/2014
Combo,Ad_Nauseam,37,71,8517,3,3.84507,0,41959,11/16/2014
Combo,Ad_Nauseam,37,71,7929,3,3.84507,0,41851,7/31/2014
Combo,Ad_Nauseam,37,71,7649,3,3.84507,0,41812,6/22/2014
Combo,Ad_Nauseam,37,71,7336,3,3.84507,0,41776,5/17/2014
Combo,Ad_Nauseam,37,71,7268,3,3.84507,0,41742,4/13/2014
Combo,Ad_Nauseam,37,71,7045,3,3.84507,0,41735,4/6/2014
Combo,Ad_Nauseam,37,71,6831,3,3.84507,0,41709,3/11/2014
Combo,Ad_Nauseam,37,71,6920,3,3.84507,0,41657,1/18/2014
Combo,Ad_Nauseam,37,71,5494,3,3.84507,0,41506,8/20/2013
Combo,Ad_Nauseam,37,71,2532,3,3.84507,0,40959,2/20/2012
Combo,Ad_Nauseam,37,71,1918,3,3.84507,0,40773,8/18/2011
Combo,Ad_Nauseam,37,71,8976,4,3.84507,0,42027,1/23/2015
Combo,Ad_Nauseam,37,71,8901,4,3.84507,0,42014,1/10/2015
Combo,Ad_Nauseam,37,71,8005,4,3.84507,0,41854,8/3/2014
Combo,Ad_Nauseam,37,71,7739,4,3.84507,0,41825,7/5/2014
Combo,Ad_Nauseam,37,71,7586,4,3.84507,0,41805,6/15/2014
Combo,Ad_Nauseam,37,71,6901,4,3.84507,0,41714,3/16/2014
Combo,Ad_Nauseam,37,71,6809,4,3.84507,0,41705,3/7/2014
Combo,Ad_Nauseam,37,71,6704,4,3.84507,0,41693,2/23/2014
Combo,Ad_Nauseam,37,71,6720,4,3.84507,0,41693,2/23/2014
Combo,Ad_Nauseam,37,71,5471,4,3.84507,0,41501,8/15/2013
Combo,Ad_Nauseam,37,71,5296,4,3.84507,0,41470,7/15/2013
Combo,Ad_Nauseam,37,71,9152,5,3.84507,0,42057,2/22/2015
Combo,Ad_Nauseam,37,71,9024,5,3.84507,0,42035,1/31/2015
Combo,Ad_Nauseam,37,71,8649,5,3.84507,0,41973,11/30/2014
Combo,Ad_Nauseam,37,71,8144,5,3.84507,0,41880,8/29/2014
Combo,Ad_Nauseam,37,71,7723,5,3.84507,0,41804,6/14/2014
Combo,Ad_Nauseam,37,71,7713,5,3.84507,0,41797,6/7/2014
Combo,Ad_Nauseam,37,71,7321,5,3.84507,0,41771,5/12/2014
Combo,Ad_Nauseam,37,71,7077,5,3.84507,0,41740,4/11/2014
Combo,Ad_Nauseam,37,71,7045,5,3.84507,0,41735,4/6/2014
Combo,Ad_Nauseam,37,71,6824,5,3.84507,0,41708,3/10/2014
Combo,Ad_Nauseam,37,71,6794,5,3.84507,0,41701,3/3/2014
Combo,Ad_Nauseam,37,71,6768,5,3.84507,0,41699,3/1/2014
Combo,Ad_Nauseam,37,71,6470,5,3.84507,0,41644,1/5/2014
Combo,Ad_Nauseam,37,71,5627,5,3.84507,0,41529,9/12/2013
Combo,Ad_Nauseam,37,71,5427,5,3.84507,0,41483,7/28/2013
Combo,Ad_Nauseam,37,71,2591,5,3.84507,0,40978,3/10/2012
Combo,Ad_Nauseam,37,71,2539,5,3.84507,0,40957,2/18/2012
Combo,Ad_Nauseam,37,71,9381,6,3.84507,0,42078,3/15/2015
Combo,Ad_Nauseam,37,71,8149,6,3.84507,0,41891,9/9/2014
Combo,Ad_Nauseam,37,71,7786,6,3.84507,0,41832,7/12/2014
Combo,Ad_Nauseam,37,71,7722,6,3.84507,0,41819,6/29/2014
Combo,Ad_Nauseam,37,71,6522,6,3.84507,0,41664,1/25/2014
Combo,Ad_Nauseam,37,71,7964,7,3.84507,0,41854,8/3/2014
Combo,Ad_Nauseam,37,71,7855,7,3.84507,0,41825,7/5/2014
Combo,Ad_Nauseam,37,71,7565,7,3.84507,0,41802,6/12/2014
Combo,Ad_Nauseam,37,71,7023,7,3.84507,0,41731,4/2/2014
Combo,Ad_Nauseam,37,71,6926,7,3.84507,0,41720,3/22/2014
Combo,Ad_Nauseam,37,71,7224,8,3.84507,0,41741,4/12/2014
Aggro,Affinity,2,856,9381,1,3.360981,1,42078,3/15/2015
Aggro,Affinity,2,856,9282,1,3.360981,1,42068,3/5/2015
Aggro,Affinity,2,856,9304,1,3.360981,1,42068,3/5/2015
Aggro,Affinity,2,856,9267,1,3.360981,1,42067,3/4/2015
Aggro,Affinity,2,856,9158,1,3.360981,1,42058,2/23/2015
Aggro,Affinity,2,856,9150,1,3.360981,1,42057,2/22/2015
Aggro,Affinity,2,856,9140,1,3.360981,1,42055,2/20/2015
Aggro,Affinity,2,856,9149,1,3.360981,1,42055,2/20/2015
Aggro,Affinity,2,856,9149,1,3.360981,1,42055,2/20/2015
Aggro,Affinity,2,856,9149,1,3.360981,1,42055,2/20/2015
Aggro,Affinity,2,856,9103,1,3.360981,1,42050,2/15/2015
Aggro,Affinity,2,856,9086,1,3.360981,1,42042,2/7/2015
Aggro,Affinity,2,856,9052,1,3.360981,1,42039,2/4/2015
Aggro,Affinity,2,856,9049,1,3.360981,1,42038,2/3/2015
Aggro,Affinity,2,856,8994,1,3.360981,1,42030,1/26/2015
Aggro,Affinity,2,856,8980,1,3.360981,1,42028,1/24/2015
Aggro,Affinity,2,856,8919,1,3.360981,1,42015,1/11/2015
Aggro,Affinity,2,856,8900,1,3.360981,1,42013,1/9/2015
Aggro,Affinity,2,856,8811,1,3.360981,1,41999,12/26/2014
Aggro,Affinity,2,856,8719,1,3.360981,1,41985,12/12/2014
Aggro,Affinity,2,856,8719,1,3.360981,1,41985,12/12/2014
Aggro,Affinity,2,856,8719,1,3.360981,1,41985,12/12/2014
Aggro,Affinity,2,856,8752,1,3.360981,1,41980,12/7/2014
Aggro,Affinity,2,856,8618,1,3.360981,1,41968,11/25/2014
Aggro,Affinity,2,856,8600,1,3.360981,1,41963,11/20/2014
Aggro,Affinity,2,856,8517,1,3.360981,1,41959,11/16/2014
Aggro,Affinity,2,856,8507,1,3.360981,1,41957,11/14/2014
Aggro,Affinity,2,856,8469,1,3.360981,1,41952,11/9/2014
Aggro,Affinity,2,856,8461,1,3.360981,1,41950,11/7/2014
Aggro,Affinity,2,856,8416,1,3.360981,1,41945,11/2/2014
Aggro,Affinity,2,856,8266,1,3.360981,1,41918,10/6/2014
Aggro,Affinity,2,856,8259,1,3.360981,1,41917,10/5/2014
Aggro,Affinity,2,856,8317,1,3.360981,1,41915,10/3/2014
Aggro,Affinity,2,856,8054,1,3.360981,1,41873,8/22/2014
Aggro,Affinity,2,856,8033,1,3.360981,1,41871,8/20/2014
Aggro,Affinity,2,856,7988,1,3.360981,1,41862,8/11/2014
Aggro,Affinity,2,856,7984,1,3.360981,1,41861,8/10/2014
Aggro,Affinity,2,856,8001,1,3.360981,1,41854,8/3/2014
Aggro,Affinity,2,856,8004,1,3.360981,1,41854,8/3/2014
Aggro,Affinity,2,856,7955,1,3.360981,1,41849,7/29/2014
Aggro,Affinity,2,856,7898,1,3.360981,1,41845,7/25/2014
Aggro,Affinity,2,856,7906,1,3.360981,1,41845,7/25/2014
Aggro,Affinity,2,856,7906,1,3.360981,1,41845,7/25/2014
Aggro,Affinity,2,856,7906,1,3.360981,1,41845,7/25/2014
Aggro,Affinity,2,856,7854,1,3.360981,1,41839,7/19/2014
Aggro,Affinity,2,856,7890,1,3.360981,1,41839,7/19/2014
Aggro,Affinity,2,856,7811,1,3.360981,1,41834,7/14/2014
Aggro,Affinity,2,856,7788,1,3.360981,1,41826,7/6/2014
Aggro,Affinity,2,856,7740,1,3.360981,1,41825,7/5/2014
Aggro,Affinity,2,856,7673,1,3.360981,1,41817,6/27/2014
Aggro,Affinity,2,856,7649,1,3.360981,1,41812,6/22/2014
Aggro,Affinity,2,856,7596,1,3.360981,1,41806,6/16/2014
Aggro,Affinity,2,856,7629,1,3.360981,1,41806,6/16/2014
Aggro,Affinity,2,856,7586,1,3.360981,1,41805,6/15/2014
Aggro,Affinity,2,856,7682,1,3.360981,1,41797,6/7/2014
Aggro,Affinity,2,856,7335,1,3.360981,1,41774,5/15/2014
Aggro,Affinity,2,856,7327,1,3.360981,1,41773,5/14/2014
Aggro,Affinity,2,856,7315,1,3.360981,1,41770,5/11/2014
Aggro,Affinity,2,856,7319,1,3.360981,1,41770,5/11/2014
Aggro,Affinity,2,856,7275,1,3.360981,1,41763,5/4/2014
Aggro,Affinity,2,856,7044,1,3.360981,1,41735,4/6/2014
Aggro,Affinity,2,856,7037,1,3.360981,1,41734,4/5/2014
Aggro,Affinity,2,856,7030,1,3.360981,1,41732,4/3/2014
Aggro,Affinity,2,856,6982,1,3.360981,1,41726,3/28/2014
Aggro,Affinity,2,856,6964,1,3.360981,1,41723,3/25/2014
Aggro,Affinity,2,856,6931,1,3.360981,1,41721,3/23/2014
Aggro,Affinity,2,856,6924,1,3.360981,1,41720,3/22/2014
Aggro,Affinity,2,856,6902,1,3.360981,1,41714,3/16/2014
