archetype,arch_count,mean_rank
4/5_C_Good_Stuff,59,3.237288
Ad_Nauseam,71,3.84507
Affinity,856,3.360981
Aura_Hexproof,139,3.42446
BUG,15,3.8
Bant,34,4.176471
Birthing_Pod,952,3.470588
Bloom_Titan,116,3.689655
Blue_Moon,34,3.970588
Boremandos,85,3.058824
Boros,36,2.944444
Delverless_RUG,23,2.826087
Dredgevine,32,3.4375
Elemental_Combo,8,3
Faeries,128,3.71875
Genesis_Wave,21,3.190476
Gift_Control,114,3.552632
Gruul_Aggro,61,3.147541
Hatebear,186,3.526882
Hive_Mind,20,3.55
Infect,187,3.352941
Instant_Reanimator,31,3.193548
Jeskai_Ascendancy,23,2.391304
Jund,870,3.27931
Junk,291,3.512027
Living_End,106,3.367925
Loam,47,3.617021
Martyr_Life,163,3.104294
Merfolk,252,3.301587
Mono_Black_Control,33,4.181818
Orzhov_Midrange,24,4.083333
Other_Aggro,80,2.8125
Other_Combo,59,3.457627
Other_Control,108,3.398148
RUG_Aggro,139,3.007194
Red_Deck_Wins,428,3.658879
Scapeshift,364,3.467033
Scepter,36,3
Sunny_Side_Up,45,3.155556
Teaching_Control,20,2.85
The_Rock,201,3.771144
Tokens,80,3.125
Twin_Exarch,844,3.510664
UB_Delver,35,2.914286
UR_Aggro,268,3.462687
UR_Storm,280,3.578571
UW_Control,231,3.441558
UWx_Midrange,484,3.452479
UrzaTron,514,3.5
Valakut,14,2.928571
Zoo,180,3.3
