deck.href,deck.text,player.href,player.text,event.href,event.text,rank,date
http://www.mtgtop8.com/event?e=9081&d=251750&f=MO,Jund,http://www.mtgtop8.com/search?player=Horstimaus19,Horstimaus19,http://www.mtgtop8.com/event?e=9081&f=MO,MTGO Modern Daily (#7974069),1,12/2/2015
http://www.mtgtop8.com/event?e=9064&d=251644&f=MO,Jund,http://www.mtgtop8.com/search?player=Park+Jong-Sun+(24+Pts),Park Jong-Sun (24 Pts),http://www.mtgtop8.com/event?e=9064&f=MO,Pro Tour Fate Reforged @ Washington DC,Other,8/2/2015
http://www.mtgtop8.com/event?e=9063&d=251627&f=MO,Jund,http://www.mtgtop8.com/search?player=_VFS_,_VFS_,http://www.mtgtop8.com/event?e=9063&f=MO,MTGO Modern Daily (#7949715),5,5/2/2015
http://www.mtgtop8.com/event?e=9019&d=251362&f=MO,Jund,http://www.mtgtop8.com/search?player=Horstimaus19,Horstimaus19,http://www.mtgtop8.com/event?e=9019&f=MO,MTGO Modern Daily (#7929978),6,31/01/15
http://www.mtgtop8.com/event?e=8981&d=251168&f=MO,Jund,http://www.mtgtop8.com/search?player=_VFS_,_VFS_,http://www.mtgtop8.com/event?e=8981&f=MO,MTGO Modern Daily (#7911818),4,22/01/15
http://www.mtgtop8.com/event?e=8921&d=250901&f=MO,Jund,http://www.mtgtop8.com/search?player=Barnini+Lorenzo,Barnini Lorenzo,http://www.mtgtop8.com/event?e=8921&f=MO,"PPTQ @ Games Academy (Pisa, Italy)",10,28/12/14
http://www.mtgtop8.com/event?e=8807&d=250256&f=MO,Jund,http://www.mtgtop8.com/search?player=Frankaiser,Frankaiser,http://www.mtgtop8.com/event?e=8807&f=MO,MTGO Modern Daily (#7815834),3,25/12/14
http://www.mtgtop8.com/event?e=8757&d=250044&f=MO,Jund,http://www.mtgtop8.com/search?player=_VFS_,_VFS_,http://www.mtgtop8.com/event?e=8757&f=MO,MTGO Modern Daily (#7797232),3,18/12/14
http://www.mtgtop8.com/event?e=8752&d=250021&f=MO,Jund,http://www.mtgtop8.com/search?player=Tardiani+Mattia,Tardiani Mattia,http://www.mtgtop8.com/event?e=8752&f=MO,PPTQ - Day of Judgment 3rd Ed. @ Caos AD,2,7/12/2014
http://www.mtgtop8.com/event?e=8674&d=249589&f=MO,Jund,http://www.mtgtop8.com/search?player=_VFS_,_VFS_,http://www.mtgtop8.com/event?e=8674&f=MO,MTGO Modern Daily (#7729886),3,3/12/2014
