supertype,archetype,deck_href,player,player_href,event,event_href,rank,date
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8900&d=250759&f=MO,David_Seigfried,http://www.mtgtop8.com/search?player=David+Seigfried,Grand_Prix_Omaha_2015_-_Trial_Winners,http://www.mtgtop8.com/event?e=8900&f=MO,1,1/9/2015
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8351&d=247986&f=MO,wolftree,http://www.mtgtop8.com/search?player=wolftree,MTGO_Modern_Daily_(#7570631),http://www.mtgtop8.com/event?e=8351&f=MO,1,10/20/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7906&d=245497&f=MO,Neeraj_Shukla,http://www.mtgtop8.com/search?player=Neeraj+Shukla,GP_Boston_2014_-_Trial_Winners,http://www.mtgtop8.com/event?e=7906&f=MO,1,7/25/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=6593&d=237886&f=MO,Adria_Simon,http://www.mtgtop8.com/search?player=Adria+Simon,Open_Totemvic,http://www.mtgtop8.com/event?e=6593&f=MO,1,1/19/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=6462&d=237076&f=MO,the_royce,http://www.mtgtop8.com/search?player=the_royce+,MTGO_Modern_Daily_(#6591882),http://www.mtgtop8.com/event?e=6462&f=MO,1,1/14/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=5589&d=232369&f=MO,Erikbobo,http://www.mtgtop8.com/search?player=Erikbobo+,MTGO_Modern_Daily_(#5936718),http://www.mtgtop8.com/event?e=5589&f=MO,1,9/8/2013
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=2389&d=215819&f=MO,Santana,http://www.mtgtop8.com/search?player=Santana,MTGO_Modern_Daily_(#3192918),http://www.mtgtop8.com/event?e=2389&f=MO,1,12/25/2011
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=2399&d=215832&f=MO,EdB,http://www.mtgtop8.com/search?player=EdB,MTGO_Modern_Daily_(#3192798),http://www.mtgtop8.com/event?e=2399&f=MO,1,12/22/2011
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8699&d=249713&f=MO,Luzkikon,http://www.mtgtop8.com/search?player=Luzkikon,MTGO_Modern_Daily_(#7753205),http://www.mtgtop8.com/event?e=8699&f=MO,2,12/5/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7806&d=244965&f=MO,l337erhosen,http://www.mtgtop8.com/search?player=l337erhosen,MTGO_Modern_Daily_(#7283156),http://www.mtgtop8.com/event?e=7806&f=MO,2,7/14/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7775&d=244769&f=MO,ratninjasamurai,http://www.mtgtop8.com/search?player=ratninjasamurai,MTGO_Modern_Daily_(#7263523),http://www.mtgtop8.com/event?e=7775&f=MO,2,7/9/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7396&d=242341&f=MO,Antonio_Dominguez,http://www.mtgtop8.com/search?player=Antonio+Dominguez,4º_Torneo_Liga_de_Modern_de_Cantabria_I_-_2014,http://www.mtgtop8.com/event?e=7396&f=MO,2,5/18/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=5801&d=233711&f=MO,AdMurk,http://www.mtgtop8.com/search?player=AdMurk+,MTGO_Modern_Daily_(#6074346),http://www.mtgtop8.com/event?e=5801&f=MO,2,10/11/2013
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=5194&d=229944&f=MO,rock2011,http://www.mtgtop8.com/search?player=rock2011+,MTGO_Modern_Daily_(#5593528),http://www.mtgtop8.com/event?e=5194&f=MO,2,6/25/2013
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=2393&d=215824&f=MO,Santana,http://www.mtgtop8.com/search?player=Santana,MTGO_Modern_Daily_(#3192868),http://www.mtgtop8.com/event?e=2393&f=MO,2,12/24/2011
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=1919&d=213843&f=MO,D.Uodax,http://www.mtgtop8.com/search?player=D.Uodax,Magic-league_Modern_Tournament_#2,http://www.mtgtop8.com/event?e=1919&f=MO,2,8/20/2011
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=1949&d=214011&f=MO,FlyingFreak,http://www.mtgtop8.com/search?player=FlyingFreak,Magic-League_Modern_Trial,http://www.mtgtop8.com/event?e=1949&f=MO,2,8/12/2011
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=9082&d=251757&f=MO,jackbohlen,http://www.mtgtop8.com/search?player=jackbohlen,MTGO_Modern_Daily_(#7974092),http://www.mtgtop8.com/event?e=9082&f=MO,3,2/13/2015
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=9063&d=251628&f=MO,jackbohlen,http://www.mtgtop8.com/search?player=jackbohlen,MTGO_Modern_Daily_(#7949715),http://www.mtgtop8.com/event?e=9063&f=MO,3,2/5/2015
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=9077&d=251733&f=MO,Jordan_Atwood,http://www.mtgtop8.com/search?player=Jordan+Atwood,Grand_Prix_Trial_@_Card_Kingdom,http://www.mtgtop8.com/event?e=9077&f=MO,3,2/1/2015
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8566&d=249169&f=MO,capatown,http://www.mtgtop8.com/search?player=capatown,MTGO_Modern_Daily_(#7704508),http://www.mtgtop8.com/event?e=8566&f=MO,3,11/21/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8517&d=248934&f=MO,Luzkikon,http://www.mtgtop8.com/search?player=Luzkikon,MTGO_Modern_Daily_(#7679517),http://www.mtgtop8.com/event?e=8517&f=MO,3,11/16/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7929&d=245596&f=MO,Potara,http://www.mtgtop8.com/search?player=Potara,MTGO_Modern_Daily_(#7332716),http://www.mtgtop8.com/event?e=7929&f=MO,3,7/31/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7649&d=243939&f=MO,Alakhai84,http://www.mtgtop8.com/search?player=Alakhai84,MTGO_Modern_Premier_(#7218316),http://www.mtgtop8.com/event?e=7649&f=MO,3,6/22/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7336&d=242020&f=MO,Luzkikon,http://www.mtgtop8.com/search?player=Luzkikon+,MTGO_Modern_Daily_(#7095518),http://www.mtgtop8.com/event?e=7336&f=MO,3,5/17/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7268&d=241654&f=MO,Ivan_Martinez_Romero,http://www.mtgtop8.com/search?player=Ivan+Martinez+Romero,Open_Dual_Games,http://www.mtgtop8.com/event?e=7268&f=MO,3,4/13/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=7045&d=240511&f=MO,Luzkikon,http://www.mtgtop8.com/search?player=Luzkikon+,MTGO_Modern_Daily_(#6950639),http://www.mtgtop8.com/event?e=7045&f=MO,3,4/6/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=6831&d=239278&f=MO,InAlght,http://www.mtgtop8.com/search?player=InAlght+,MTGO_Modern_Daily_(#6834343),http://www.mtgtop8.com/event?e=6831&f=MO,3,3/11/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=6920&d=239721&f=MO,Emilio_Rodriguez_Tilve,http://www.mtgtop8.com/search?player=Emilio+Rodriguez+Tilve,GPT_Allariz,http://www.mtgtop8.com/event?e=6920&f=MO,3,1/18/2014
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=5494&d=231770&f=MO,Kahleya,http://www.mtgtop8.com/search?player=Kahleya+,MTGO_Modern_Daily_(#5832137),http://www.mtgtop8.com/event?e=5494&f=MO,3,8/20/2013
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=2532&d=216459&f=MO,Christian_Wagner,http://www.mtgtop8.com/search?player=Christian+Wagner,"PTQ_Barcelona_(Zwolle,_The_Netherlands)",http://www.mtgtop8.com/event?e=2532&f=MO,3,2/20/2012
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=1918&d=213836&f=MO,D.Uodax,http://www.mtgtop8.com/search?player=D.Uodax,Magic-league_Modern_Tournament_#1,http://www.mtgtop8.com/event?e=1918&f=MO,3,8/18/2011
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8976&d=251158&f=MO,Lollipop_Man,http://www.mtgtop8.com/search?player=Lollipop_Man,MTGO_Modern_Daily_(#7911848),http://www.mtgtop8.com/event?e=8976&f=MO,4,1/23/2015
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8901&d=250767&f=MO,Luzkikon,http://www.mtgtop8.com/search?player=Luzkikon,MTGO_Modern_Daily_(#7867366),http://www.mtgtop8.com/event?e=8901&f=MO,4,1/10/2015
Combo,Ad_Nauseam,http://www.mtgtop8.com/event?e=8005&d=246088&f=MO,Dominic_Casali,http://www.mtgtop8.com/search?player=Dominic+Casali,2014_Modern_State_Championships_-_South_Carolina,http://www.mtgtop8.com/event?e=8005&f=MO,4,8/3/2014
