supertype,archetype,deck_href,player,player_href,event,event_href,rank,date
Control,Blue_Moon,http://www.mtgtop8.com/event?e=9354&d=253619&f=MO,BILLYNOOO,http://www.mtgtop8.com/search?player=BILLYNOOO,MTGO_Modern_Daily_(#8068352),http://www.mtgtop8.com/event?e=9354&f=MO,1,3/11/2015
Control,Blue_Moon,http://www.mtgtop8.com/event?e=9366&d=253659&f=MO,BILLYNOOO,http://www.mtgtop8.com/search?player=BILLYNOOO,MTGO_Modern_Daily_(#8068352),http://www.mtgtop8.com/event?e=9366&f=MO,1,3/11/2015
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8900&d=250760&f=MO,Alex_Zyskowski,http://www.mtgtop8.com/search?player=Alex+Zyskowski,Grand_Prix_Omaha_2015_-_Trial_Winners,http://www.mtgtop8.com/event?e=8900&f=MO,1,1/9/2015
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8382&d=248171&f=MO,Ryan_Hipp,http://www.mtgtop8.com/search?player=Ryan+Hipp,Starcitygames_Open_Series:_Minneapolis,http://www.mtgtop8.com/event?e=8382&f=MO,1,10/26/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8246&d=247439&f=MO,Ryan_Hipp,http://www.mtgtop8.com/search?player=Ryan+Hipp,SCG_Premier_IQ_Indianapolis,http://www.mtgtop8.com/event?e=8246&f=MO,1,9/28/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8095&d=246647&f=MO,Emil_Thonsri,http://www.mtgtop8.com/search?player=Emil+Thonsri,GPT_Stockholm_-_in_Trollhättan,http://www.mtgtop8.com/event?e=8095&f=MO,1,8/31/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7998&d=246024&f=MO,Brett_Hibbs,http://www.mtgtop8.com/search?player=Brett+Hibbs,2014_Modern_State_Championships_-_Montana,http://www.mtgtop8.com/event?e=7998&f=MO,1,8/3/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8017&d=246186&f=MO,Jim_Still,http://www.mtgtop8.com/search?player=Jim+Still,2014_Modern_State_Championships_-_Mississippi,http://www.mtgtop8.com/event?e=8017&f=MO,1,8/3/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7549&d=243314&f=MO,daibloXSC,http://www.mtgtop8.com/search?player=daibloXSC+,MTGO_Modern_Daily_(#7167166),http://www.mtgtop8.com/event?e=7549&f=MO,1,6/9/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7341&d=242044&f=MO,SpacejAm,http://www.mtgtop8.com/search?player=SpacejAm+,MTGO_Modern_Daily_(#7074958),http://www.mtgtop8.com/event?e=7341&f=MO,1,5/13/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8412&d=248317&f=MO,1n5aN3,http://www.mtgtop8.com/search?player=1n5aN3,MTGO_Modern_Daily_(#7620447),http://www.mtgtop8.com/event?e=8412&f=MO,2,10/31/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7975&d=245905&f=MO,Kanin,http://www.mtgtop8.com/search?player=Kanin,MTGO_Modern_Daily_(#7356073),http://www.mtgtop8.com/event?e=7975&f=MO,2,8/9/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7266&d=241636&f=MO,Nicolas_Massat,http://www.mtgtop8.com/search?player=Nicolas+Massat+,BoM9_Modern_Main_Event,http://www.mtgtop8.com/event?e=7266&f=MO,2,5/3/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7321&d=241933&f=MO,SpacejAm,http://www.mtgtop8.com/search?player=SpacejAm+,MTGO_Modern_Premier_(#7074921),http://www.mtgtop8.com/event?e=7321&f=MO,3,5/12/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8428&d=248408&f=MO,dancingjesus102,http://www.mtgtop8.com/search?player=dancingjesus102,MTGO_Modern_Daily_(#7620495),http://www.mtgtop8.com/event?e=8428&f=MO,4,11/1/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7781&d=244791&f=MO,inac,http://www.mtgtop8.com/search?player=inac,MTGO_Modern_Daily_(#7282989),http://www.mtgtop8.com/event?e=7781&f=MO,4,7/10/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8469&d=248615&f=MO,Egil_Salomonsson,http://www.mtgtop8.com/search?player=Egil+Salomonsson,Scandinavian_Open_#3_(Uppsala),http://www.mtgtop8.com/event?e=8469&f=MO,5,11/9/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8110&d=246728&f=MO,Matthew_Sewell,http://www.mtgtop8.com/search?player=Matthew+Sewell,"PTQ_Khans_of_Tarkir_(Lubbock,_Texas)",http://www.mtgtop8.com/event?e=8110&f=MO,5,8/29/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=8109&d=246722&f=MO,Lucio_De_Cesare,http://www.mtgtop8.com/search?player=Lucio+De+Cesare,"PTQ_Khans_of_Tarkir_(Bari,_Italy)",http://www.mtgtop8.com/event?e=8109&f=MO,5,8/24/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7975&d=245906&f=MO,gnorilgrande,http://www.mtgtop8.com/search?player=gnorilgrande,MTGO_Modern_Daily_(#7356073),http://www.mtgtop8.com/event?e=7975&f=MO,5,8/9/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7997&d=246016&f=MO,Brandon_Babcock,http://www.mtgtop8.com/search?player=Brandon+Babcock,2014_Modern_State_Championships_-_Maine,http://www.mtgtop8.com/event?e=7997&f=MO,5,8/3/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7919&d=245565&f=MO,Alfapu,http://www.mtgtop8.com/search?player=Alfapu,MTGO_Modern_Daily_(#7313485),http://www.mtgtop8.com/event?e=7919&f=MO,5,7/28/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7905&d=245453&f=MO,Marc_Tobiasch,http://www.mtgtop8.com/search?player=Marc+Tobiasch,Grand_Prix_Boston_2014,http://www.mtgtop8.com/event?e=7905&f=MO,5,7/27/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7662&d=244023&f=MO,Justo_Fernandez,http://www.mtgtop8.com/search?player=Justo+Fernandez,PTQ_Khans_of_Tarkir_-_LudoGoya_(Madrid),http://www.mtgtop8.com/event?e=7662&f=MO,5,6/8/2014
Control,Blue_Moon,http://www.mtgtop8.com/event?e=7426&d=242495&f=MO,im2g00t4ubarn,http://www.mtgtop8.com/search?player=im2g00t4ubarn+,MTGO_Modern_Daily_(#7143279),http://www.mtgtop8.com/event?e=7426&f=MO,5,5/29/2014
